round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces,checkmate_target
6,green,l8,0,0,0,0,m8-l8,m8,l8,Pawn,0,43,43,43,43,16,16,16,16,
7,red,Ni3,0,0,0,0,Nj1-i3,j1,i3,Knight,0,43,43,43,43,16,16,16,16,
7,blue,Ba6,0,0,0,0,Bb5-a6,b5,a6,Bishop,0,43,43,43,43,16,16,16,16,
7,yellow,Be12+,0,0,0,0,Bf11-e12+,f11,e12,Bishop,0,43,43,43,43,16,16,16,16,
7,green,Qm8,0,0,0,0,Qn8-m8,n8,m8,Queen,0,43,43,43,43,16,16,16,16,
8,red,Bxm8+,0,0,0,0,Bf1xQm8+,f1,m8,Bishop,1,43,43,43,34,16,16,16,15,
8,blue,Nc10,9,0,0,0,Nb8-c10,b8,c10,Knight,0,43,43,43,34,16,16,16,15,
8,yellow,O-O,9,0,0,0,O-O,g14,e14,King,0,43,43,43,34,16,16,16,15,
8,green,Bxm8,9,0,0,0,Bn9xBm8,n9,m8,Bishop,1,38,43,43,34,15,16,16,15,
9,red,h3,9,0,0,5,h2-h3,h2,h3,Pawn,0,38,43,43,34,15,16,16,15,
9,blue,Bxi1,9,0,0,5,Ba9xBi1,a9,i1,Bishop,1,33,43,43,34,14,16,16,15,
9,yellow,Nj10,9,5,0,5,Ni12-j10,i12,j10,Knight,0,33,43,43,34,14,16,16,15,
9,green,j7,9,5,0,5,k7-j7,k7,j7,Pawn,0,33,43,43,34,14,16,16,15,
10,red,Rxi1,9,5,0,5,Rk1xBi1,k1,i1,Rook,1,33,38,43,34,14,15,16,15,
10,blue,c7,14,5,0,5,b7-c7,b7,c7,Pawn,0,33,38,43,34,14,15,16,15,
10,yellow,Bg10,14,5,0,5,Be12-g10,e12,g10,Bishop,0,33,38,43,34,14,15,16,15,
10,green,i7,14,5,0,5,j7-i7,j7,i7,Pawn,0,33,38,43,34,14,15,16,15,
11,red,h4,14,5,0,5,h3-h4,h3,h4,Pawn,0,33,38,43,34,14,15,16,15,
11,blue,d7,14,5,0,5,c7-d7,c7,d7,Pawn,0,33,38,43,34,14,15,16,15,
11,yellow,i12,14,5,0,5,i13-i12,i13,i12,Pawn,0,33,38,43,34,14,15,16,15,
11,green,h7,14,5,0,5,i7-h7,i7,h7,Pawn,0,33,38,43,34,14,15,16,15,
12,red,h5,14,5,0,5,h4-h5,h4,h5,Pawn,0,33,38,43,34,14,15,16,15,
12,blue,Bb7,14,5,0,5,Ba6-b7,a6,b7,Bishop,0,33,38,43,34,14,15,16,15,
12,yellow,Nh9,14,5,0,5,Nj10-h9,j10,h9,Knight,0,33,38,43,34,14,15,16,15,
12,green,j10,14,5,0,5,k10-j10,k10,j10,Pawn,0,33,38,43,34,14,15,16,15,
13,red,Nj1,14,5,0,5,Ni3-j1,i3,j1,Knight,0,33,38,43,34,14,15,16,15,
13,blue,Ne11,14,5,0,5,Nc10-e11,c10,e11,Knight,0,33,38,43,34,14,15,16,15,
13,yellow,Bj12,14,5,0,5,Bi11-j12,i11,j12,Bishop,0,33,38,43,34,14,15,16,15,
13,green,i10,14,5,0,5,j10-i10,j10,i10,Pawn,0,33,38,43,34,14,15,16,15,
14,red,Nh2,14,5,0,5,Nj1-h2,j1,h2,Knight,0,33,38,43,34,14,15,16,15,
14,blue,Nxg10,14,5,0,5,Ne11xBg10,e11,g10,Knight,1,33,38,38,34,14,15,15,15,
14,yellow,Nxg10,14,10,0,5,Nf12xNg10,f12,g10,Knight,1,33,35,38,34,14,14,15,15,
14,green,g7=Q,14,10,3,5,h7-g7=D,h7,g7,Queen,0,33,35,38,42,14,14,15,15,
15,red,g5,14,10,3,5,g4-g5,g4,g5,Pawn,0,33,35,38,42,14,14,15,15,
15,blue,c6,14,10,3,5,b6-c6,b6,c6,Pawn,0,33,35,38,42,14,14,15,15,
15,yellow,Nxg7,14,10,3,5,Nh9xQg7,h9,g7,Knight,1,33,35,38,33,14,14,15,14,
15,green,Kn8,14,10,4,5,Kn7-n8,n7,n8,King,0,33,35,38,33,14,14,15,14,
16,red,h6,14,10,4,5,h5-h6,h5,h6,Pawn,0,33,35,38,33,14,14,15,14,
