round,player,move,redPoints,bluePoints,yellowPoints,greenPoints,moveNote,origin,destination,piece,capture,redMaterial,blueMaterial,yellowMaterial,greenMaterial,redNumPieces,blueNumPieces,yellowNumPieces,greenNumPieces,checkmate_target
30,blue,Rxf5,20,14,12,10,Rf4xf5,f4,f5,Rook,1,32,34,31,26,9,13,12,11,
30,yellow,Bf2,20,15,12,10,Bg3-f2,g3,f2,Bishop,0,32,34,31,26,9,13,12,11,
30,green,l4,20,15,12,10,m4-l4,m4,l4,Pawn,0,32,34,31,26,9,13,12,11,
31,red,Qxa11+,20,15,12,10,Qi3xRa11+,i3,a11,Queen,1,32,29,31,26,9,12,12,11,
31,blue,Kb8,25,15,12,10,Ka8-b8,a8,b8,King,0,32,29,31,26,9,12,12,11,
31,yellow,Qg3,25,15,12,10,Qg14-g3,g14,g3,Queen,0,32,29,31,26,9,12,12,11,
31,green,Bg2+#,25,15,12,10,Bm8-g2+#,m8,g2,Bishop,0,32,29,31,26,9,12,12,11,red
32,red,,25,15,12,30,,,,Pawn,0,32,29,31,26,9,12,12,11,
32,blue,Ra5,25,15,12,30,Rf5-a5,f5,a5,Rook,0,32,29,31,26,9,12,12,11,
32,yellow,Qxg2,25,15,12,30,Qg3xBg2,g3,g2,Queen,1,32,29,31,21,9,12,12,10,
32,green,Nk11,25,15,17,30,Nl9-k11,l9,k11,Knight,0,32,29,31,21,9,12,12,10,
33,red,,25,15,17,30,,,,Pawn,0,32,29,31,21,9,12,12,10,
33,blue,Ne3,25,15,17,30,Nc4-e3,c4,e3,Knight,0,32,29,31,21,9,12,12,10,
33,yellow,Qn9+,25,15,17,30,Qg2-n9+,g2,n9,Queen,0,32,29,31,21,9,12,12,10,
33,green,Km7,25,15,17,30,Kn7-m7,n7,m7,King,0,32,29,31,21,9,12,12,10,
34,red,,25,15,17,30,,,,Pawn,0,32,29,31,21,9,12,12,10,
34,blue,Qc5,25,15,17,30,Qa7-c5,a7,c5,Queen,0,32,29,31,21,9,12,12,10,
34,yellow,Qxl11,25,15,17,30,Qn9xl11,n9,l11,Queen,1,32,29,31,20,9,12,12,9,
34,green,Nxj13,25,15,18,30,Nk11xj13,k11,j13,Knight,1,32,29,30,20,9,12,11,9,
35,red,,25,15,18,31,,,,Pawn,0,32,29,30,20,9,12,11,9,
35,blue,Qf5,25,15,18,31,Qc5-f5,c5,f5,Queen,0,32,29,30,20,9,12,11,9,
35,yellow,Bxl8+,25,15,18,31,Bf2xl8+,f2,l8,Bishop,1,32,29,30,19,9,12,11,8,
35,green,Kl7,25,15,19,31,Km7-l7,m7,l7,King,0,32,29,30,19,9,12,11,8,
36,red,,25,15,19,31,,,,Pawn,0,32,29,30,19,9,12,11,8,
36,blue,Qxl11,25,15,19,31,Qf5xQl11,f5,l11,Queen,1,32,29,21,19,9,12,10,8,
36,yellow,Bxn6+,25,24,19,31,Bl8xBn6+,l8,n6,Bishop,1,32,29,21,14,9,12,10,7,
36,green,Kk7,25,24,24,31,Kl7-k7,l7,k7,King,0,32,29,21,14,9,12,10,7,
37,red,,25,24,24,31,,,,Pawn,0,32,29,21,14,9,12,10,7,
37,blue,Be4,25,24,24,31,Bb7-e4,b7,e4,Bishop,0,32,29,21,14,9,12,10,7,
37,yellow,Bxm5,25,24,24,31,Bn6xm5,n6,m5,Bishop,1,32,29,21,13,9,12,10,6,
37,green,Nxh12,25,24,25,31,Nj13xh12,j13,h12,Knight,1,32,29,20,13,9,12,9,6,
38,red,,25,24,25,32,,,,Pawn,0,32,29,20,13,9,12,9,6,
